Disease,0,1,2,3,4,5,6,7,8,9
(vertigo) paroymsal  positional vertigo,"Avoid trigger foods (caffeine, alcohol)",Limit sodium intake,Stay hydrated,Consume ginger and ginkgo biloba,Limit artificial sweeteners,Consult a healthcare professional,Avoid sudden head movements,Follow medical recommendations,Manage stress,Limit caffeine and stimulants
acne,Consume a balanced diet,Limit dairy and high-glycemic foods,Include antioxidants,Stay hydrated,Limit processed foods,Include zinc-rich foods,Consult a skincare professional,Practice good skincare hygiene,Limit sugary foods and beverages,Follow medical recommendations
aids,Follow a balanced and nutritious diet,Include lean proteins,Consume nutrient-rich foods,Stay hydrated,Include healthy fats,Avoid raw or undercooked foods,Limit sugary foods and beverages,Consume immune-boosting foods,Take prescribed supplements,Consult a healthcare professional
alcoholic hepatitis,Avoid alcohol consumption,Follow a balanced and nutritious diet,Stay hydrated,Consume nutrient-rich foods,Include protein-rich foods,Limit fatty foods,Include antioxidants,Consult a healthcare professional,Rest and conserve energy,Gradually resume normal diet
allergy,Avoid allergenic foods,Consume anti-inflammatory foods,Include omega-3 fatty acids,Stay hydrated,Eat foods rich in vitamin C,Include quercetin-rich foods,Consume local honey,Limit processed foods,Include ginger in diet,Avoid artificial additives
arthritis,Consume anti-inflammatory foods,Include omega-3 fatty acids,Consume antioxidant-rich foods,Stay hydrated,Limit processed foods,Include vitamin K-rich foods,Consult a healthcare professional,Follow medical recommendations,Engage in low-impact exercise,Maintain a healthy weight
bronchial asthma,Include anti-inflammatory foods,Consume omega-3 fatty acids,Limit sodium intake,Stay hydrated,Include antioxidant-rich foods,Avoid sulfite-containing foods,Limit processed foods,Consume magnesium-rich foods,Consult a healthcare professional,Avoid trigger foods
cervical spondylosis,Include anti-inflammatory foods,Consume omega-3 fatty acids,Include vitamin D-rich foods,Stay hydrated,Consume antioxidant-rich foods,Limit processed foods,Include lean proteins,Practice good posture,Consult a healthcare professional,Engage in regular exercise
chicken pox,Stay hydrated,Include easily digestible foods,Include vitamin C-rich foods,Consume protein-rich foods,Include zinc-rich foods,Avoid spicy and acidic foods,Consult a healthcare professional,Practice good hygiene,Rest and conserve energy,Gradually resume normal diet
chronic cholestasis,Consume a low-fat diet,Eat high-fiber foods,Include healthy fats,Limit alcohol consumption,Stay hydrated,Consume antioxidant-rich foods,Include omega-3 fatty acids,Include lean proteins,Limit processed foods,Avoid fried foods
